text,label,input
"Some of the background details of this story are based, very, very loosely, on real events of the era in which this was placed. The story combines some of the details of the famous Leopold and Loeb case along with a bit of Aimee Semple McPherson.<br /><br />The story begins with two mothers (Shelley Winters and Debbie Reynolds) being hounded as they leave a courtroom. The crowd seems most intent on doing them bodily harm as their sons were just convicted of a heinous thrill crime. One person in the crowd apparently slashes Winters' hand as they make their way to a waiting car.<br /><br />Soon after they arrive home, they begin getting threatening phone calls, so Reynolds suggests they both move to the West Coast together and open a dance school. The dance school is s success and they cater to incredibly obnoxious parents who think their child is the next Shirley Temple. One of the parents of these spoiled kids is a multimillionaire who is quite smitten with Reynolds and they begin dating. Life appears very good. But, when the threatening phone calls begin again, Winters responds by flipping out--behaving like she's nearing a psychotic break and she retreats further and further into religion--listening on the radio to 'Sister Alma' almost constantly. Again and again, you see Winters on edge and it ultimately culminates in very bad things!! I won't say more, as it might spoil this suspenseful and interesting film.<br /><br />In many ways, this film is a lot like the Bette Davis and Joan Crawford horror films of the 1960s like ""Whatever Happened to Baby Jane?"", ""Straight-Jacket"" and ""The Nanny"". While none of these are exactly intellectual fare, on a kitsch level they are immensely entertaining and fun. The writing is very good and there are some nice twists near the end that make it all very exciting. Winters is great as a fragile and demented lady and Reynolds plays one of the sexiest 39 year-olds I've ever seen--plus she can really, really dance.<br /><br />My only concern about all this is that some might find Winters' hyper-religiosity in the film a bit tacky--like a cheap attack on Christianity. At first I felt that way, but when you meet Sister Alma, she seems sincere and is not mocked, so I took Winters' religious zeal as just a sign of craziness--which, I assume, is all that was intended.<br /><br />By the way, this film is packaged along with ""Whoever Slew Auntie Roo?""--another Shelley Winters horror film from 1971. Both are great fun...and quite over-the-top!",1,"Some of the background details of this story are based, very, very loosely, on real events of the era in which this was placed. The story combines"
"This is a pleasant film, even if the premise is silly. It was sort of a guilty pleasure to watch. Meg Ryan seems to be able to pull off roles in this kind of film (another example is Joe vs. the Volcano). That's what makes her a star, in part. Walter Matthau, of course, had that ability, too, and he really puts himself into the role, making an amusing, good-hearted Einstein. I suppose you could say they're both good at portraying loveable characters, though loveable in different ways (loveable young women vs. loveable curmudgeon).",1,"This is a pleasant film, even if the premise is silly. It was sort of a guilty pleasure to watch. Meg Ryan seems to be able to pull"
"There must have been some interesting conversations on the set of Eagle's Wing, with Martin Sheen straight off Apocalypse Now co-starred with the actor he replaced on Coppola's film, Harvey Keitel. A real unloved child of a movie, dating back to the last major batch of Westerns in 1979-80, it was much reviled at the time for being made by a British studio and director (conveniently ignoring the fact that many of the classic American westerns were directed by European émigrés), which seems a bit of an over-reaction.<br /><br />The plot is simplicity itself, as Martin Sheen's inexperienced trapper finds himself fighting with Sam Waterston's nonosyllabic Kiowa warrior over the possession of a beautiful white horse, the Eagle's Wing, across a harsh and primitive landscape in a time ""before the legends began."" Aside from Caroline Langrishe's captive Irish governess, the supporting cast have little to do (Stephane Audran never even gets to open her mouth) and it is a little slow, but Anthony Harvey's film does boast terrific Scope photography from Billy Williams and a good score from Marc Wilkinson.",1,"There must have been some interesting conversations on the set of Eagle's Wing, with Martin Sheen straight off Apocalypse Now co-starred with the actor he replaced"
"I've been trying to find out about this series for ages! Thank you, IMDb! I saw this as a child and have never quite been able to get it out of my mind. As a 6-year old, of course, I was particularly struck by the episode of the cyclops, which was absolutely chilling (I talked about it so much that my older brother made me a cyclops out of a plastic cave man figurine, which I still have) What I also remember, though, was the atmosphere, which was unusual right from the beginning - mysterious, austere, and extremely authentic. When I read the original many years later I experienced that same sensation. It's a very hard thing to capture - and probably impossible in Hollywood. Every 'Odyssey' I've seen since has been an enormous let-down. The characters in this series seemed genuine, real people - ancient Greek people - and not some Hollywood stars in costumes. This is a real masterpiece! But - Why is it not better known? And why isn't it available on VHS or DVD? I would just love to have the chance to see this again!",1,"I've been trying to find out about this series for ages! Thank you, IMDb! I saw this as a child and have never quite been able to"
"I went to see this film out of curiosity, and to settle an argument. The film is now best known from the suite of music Sergei Prokofiev extracted from his incidental music to the film, the Troika movement even turning up in pop arrangements. The general outline of the plot is well known from the sleeve notes on various recordings. A clerk accidentally generates a non-existent Lieutenant Kizhe in a list to be presented to the tsar. The tsar is interested in this person, and rather than tell him he doesn't exist, the courtiers and officers maintain the pretence that he is real. Kizhe is exiled to Siberia, recalled, promoted, married, promoted again, dies, is given a state funeral, revealed as an embezzler and posthumously demoted to the ranks.<br /><br />I had heard conflicting stories about how the clerk invented Kizhe, involving ink blots and sneezes, but I'd heard the film was lost, so there was no way to find out what happens. Then the film turned up at the Barbican in London as part of their Prokofiev festival. For the record, it turned out that all that happens is that the clerk confuses two words whilst writing an order and turns Kuzhe into Kizhe. As the tsar is in a hurry to see the order, there's no time to correct the mistake.<br /><br />Having gone expecting an historical curiosity, I was pleasantly surprised. The film is very funny, and the audience, myself included, laughed continuously. Although most of it is filmed straight, set mostly in the palace, there are a few ""trick"" shots where multiple images appear on the screen. For instance, the tsar's army is represented by a small group, repeated across the screen. Four identical guards perform perfect drill in perfect unison. Two identical servants scrub the floor.<br /><br />One slight drawback was it was very difficult to work out who everyone was. There were two women who might have been the tsar's daughters, or a daughter and a servant or something else. And very few people were named. But all in all, an enjoyable film and I'm surprised it's not seen more often.",1,"I went to see this film out of curiosity, and to settle an argument. The film is now best known from the suite of music Sergei Prokof"
"Watching John Cassavetes film, Opening Night, I was reminded of something that Quentin Tarantino said once in an interview about personal experience in being a creator of art or acting. He referred to an example of, say, if he ran over a dog while on his way to act in a play that it wouldn't be the end of his life but that it would affect him, and that, without a doubt, he would have to bring that experience with him on stage even if it was a light comedy. ""Otherwise,"" as he said, ""what am I doing?"" I couldn't help but think of his words when watching Gena Rowland's character, Myrtle Gordon, who for almost a whole week or so goes through a very similar scenario. There is more to this in Cassavetes' film, of course, since it's about how the theater works around a star actress, what emotion and human nature mean when looking at playing a character, and how one lives when all one has (like Myrtle Gordon) is the theater.<br /><br />Near the beginning of the film, after exiting a performance, Myrtle is signing autographs and one such fan named Nancy comes up to her favorite star and pours her heart out to Myrtle. It's a touching little moment, but it doesn't last as she has to get in the car (pouring rain and all). She then watches in horror as the girl, who stood right next to the car as it drove off, gets hit by another car in an auto accident. She's not sure really what happened, but then finds out the next day that in fact the girl did die from the hit. From then on she's sort of stunned by this even after she thinks it's out of her system. At first this shows in small ways, like when she rehearses a scene with her fellow actor (played by Cassavetes) and can't seem to stand being hit - she blames it on the lack of depth in the character (the writer: ""What do you think the play lacks?"" ""Hope,"" says Myrtle)- but then Nancy starts to show up to her, an apparition that to Myrtle is all to real, until she's suddenly gone.<br /><br />Cassavetes, as in the past films, is after a search for what it means to have emotion, to really feel about something and feel it, or the lack thereof, and how it affects others around the person. This isn't exactly new ground for Rowlands, who previously played a woman on the edge of herself in Woman Under the Influence (in that case because of alcohol), nor would it be alien territory for costar Ben Gazzara, who just came off starring in Killing of a Chinese Bookie. But the actors express everything essential to their characters in every scene; Cassavetes doesn't tell them how to get from A to B in a scene, and he doesn't need to. There's a mood in a Cassavetes film that trumps the sometimes grungy camera-work. You know Myrtle, for example, should be content somehow, even if it isn't with the plot. But she's haunted, and is unsatisfied with her character's lack of depth and the tone of the play (""Aging, who goes to see that?"" she asks the playwright), and it starts to affect those around her too.<br /><br />The question soon becomes though not what is the usual. A conventional dramatist would make the conflict 'Will she be able to go on stage, will the show go on?' This isn't important for Cassavetes, even if it's there, as is the question 'Will she be alright?' Perhaps going through such a grueling play as ""The Second Woman"" could help her work out her personal demons and her losing her grip on reality (seeing Sara and attacking her in front of total strangers, who wonder what the hell is going on)? Or will the play's lack of hope strain everything else wrong with her? The depths Rowlands makes with her character are intense and harrowing, and that it's expected doesn't mean it's any duller than Woman Under the Influence- if anything, it's just as good as that film at being honest about a person in this profession, and consequently the other performances are just as true, from Gazarra to Nancy played by a subtle Laura Johnson. Cassavetes answers to his own posed questions aren't easy.<br /><br />One of the real thrills of Opening Night, along with seeing great actors performing an amazing script, is to see Cassavetes take on the theater the way he does. We see the play performed- and it's apparently a real play- and we only know slightly what it's about. When we see the actors on the stage performing it, we wax and wane between being involved in what melodrama is going on (relationship scuffling and affairs and the occasional slap and domestic violence) and the improvisation of the actors. I wondered watching how much really was improvised, how much Cassavetes allowed for the other actors to do in the scenes where Myrtle starts to go loopy or, in the climax, is completely smashed. He's on the stage, too, so it must have been something for them to work it out beforehand and let what would happen happen.<br /><br />It's funny, startling, chilling, and edge-of-your-seat stuff, some of the best theater-on-film scenes ever put in a movie, and we see the lines between actor on stage, actor on film, actor with actor, blur together wonderfully. Opening Night is a potent drama that is full of frank talk about death and madness, reality and fiction, where the love is between people, and really, finally, what does 'acting' mean?",1,"Watching John Cassavetes film, Opening Night, I was reminded of something that Quentin Tarantino said once in an interview about personal experience in being a creator"
"A teen-aged girl gets the horse of her dreams and is trained by an ex-Jockey to participate in London's Grand National Steeplechase. A fine adaptation of the classic children's book, with an excellent, start-making performance by Taylor as the energetic but polite youngster. Rooney is OK as her trainer, although he has some overly melodramatic moments. Crisp and Revere are quite good as Taylor's loving parents. Filmed in Technicolor, it looks beautiful. The problems are that there are corny elements, nothing very interesting happens, and it drags on a bit too long. The race is exciting but could have been much more so.",1,A teen-aged girl gets the horse of her dreams and is trained by an ex-Jockey to participate in London's Grand National Steeplechase.
"Although there is melodrama at the center or rather at the bottom of this film, the story is told beautifully and subtly and the acting is superb.<br /><br />Yaara, studying at Princeton, returns to her native Israel for the funeral of her oldest and dearest friend, Talia. Because Yaara practically lived with her friend's parents after the death of her own mother, she has lost her adoptive sister. And because Yaara, blind from birth, has been guided and guarded by Talia, her friend's suicide is as unbearable as it is inexplicable.<br /><br />Inevitably, the blind girl is the one who determines to solve the mystery of this death. Though without sight, she has insight. Though she cannot see, she is able to find what is out of sight than the ""normal"" people around her. The film thus becomes an absorbing mystery as Yaara scours for clues in memories of her relationship with Talia, in her adoptive family's house, in tapes, diaries, and people in Talia's past and present.<br /><br />Told from Yara's point of view, the film is also seen from her point of view, as she visualizes what she hears, believes, and imagines. The solution to the mystery is rather conventional, but the search is conducted with such subtle care and the answer rendered so beautifully and without fanfare, that the pat moment is easily forgiven. The truths emerge gradually yet inexorably, clarifying not only Talia's life, but also her relationship with Yaara. Tali Sharon, as Yaara, uses her mobile face and voice effectively, and is utterly believable as both the adult and teenage girl. We accept fully her ability by the film's end to find her place in the world more confidently.<br /><br />Noteworthy is the precision by which places and actions are repeated with small but significant variations that never become tedious, the dead-on acting by the minor characters, and the interesting decision to represent Talia only as a teenager. I will quibble with Yaara's final declaration as stands with Gadi, Talia's last boyfriend, at a cliff's edge, but that trip to the edge is so fascinating that the image will remain in sight longer than her words will be recalled.",1,"Although there is melodrama at the center or rather at the bottom of this film, the story is told beautifully and subtly and the acting is superb.<br"
"I first saw this film over 25 years ago on British TV and have only just caught up with it again last week on a DVD copy bought off ebay. I had remembered the musical sequences, the colour and the gorgeous fashion plate poses and clothes but the plot is weaker than the earlier Anna Neagle/Michael Wilding film Spring in Park Lane and Maytime doesn't stand up so well to the passage of the years. But Michael Wilding is a joy in the film, charming, funny, debonair, appears to be having great fun and on top of his form. Worth watching for him alone. Anna Neagle appears a little matronly beside him, and a little too old for the part she plays but by the end of the 1940's their film partnership was well established with the cinema going public. Spring in Park Lane had been a top hit for 1947 and a big money maker. In his autobiography Wilding wrote at length of his great regard for Herbert Wilcox the director and instigator of this London series of films.",1,I first saw this film over 25 years ago on British TV and have only just caught up with it again last week on a DVD copy bought off ebay
"Ich will danke Herr Hacke für den Filme. Mein Deutsch ist nicht gut. Enschuldigen Sie.<br /><br />First of all, i didn't know how diverse the sound of Istanbul, inspite i live in Turkey.Faith Akin and Alexander Hacke have made a different approach for Turkish music.Narrating, performing, seeing Istanbul and Istanbul Music from a foreigner aspect had given the real meaning of the music itself.<br /><br />In this movie I had found out how different our(Turkish) culture is, how interesting our performers are, and how much respect they deserve. Unfortunately no one have been able to serve this kind of documentary before.",1,"Ich will danke Herr Hacke für den Filme. Mein Deutsch ist nicht gut. Enschuldigen Sie.<br /><br />First of all,"
"I saw this movie again as an assignment for my management class. Were to mainly comment on the different management styles and ideas on quality(of the product). I did rent this one back in the eighties and I remember it to be good(but not great)movie. I've always liked Michael Keaton's style and delivery. He was a perfect fit for the movie.<br /><br />I am surprised to see some of the low ratings for this movie. I grant you yes it's no Oscar winner but it does have decent comedic value. It's more of a subtle comedy rather than a all-out comedy farce. I also find some of those that felt this was an inaccurate film on cultural and business differences. I beg to differ. I grant you again that there are a lot of generalities and dramatizations but then again this is Hollywood film not a documentary. From what I've read about differences between Automakers on both sides of the Pacific at that time many of the principle ideas were accurate for the time.<br /><br />Some of the basic differences were that Japanese workers made to feel as part of the company as a whole. Teamwork was emphasized. They perhaps made the company above all else. Where American workers had more of a management verses labor type of relationship. The individual was more important than the company. I'll probably get some hate email over that comment I'm sure.<br /><br />Another difference was how quality was viewed and whose responsibility it was to fix. In many Japanese plants defects or problems are examined and fixed at the time it is discovered. Rather as one character in the movie put it ""it was the dealers(meaning car dealer) problem"".<br /><br />Many of these things are probably dated but I'm sure some are still around as many US car makers are still struggling to keep up with the Japanese. If one is more interested in the subject of American, European and Japanese automakers I can recommend a book that studies this subject in more detail and was done around the same time period. The book is called ""The machine that changed the world"" by James Womack, Daniel Jones and Daniel Roos. It's about a study of automakers during and before the time period that this movie covers. Parts are bit dry but I think you'll find that it backs up much the movie also.",1,I saw this movie again as an assignment for my management class. Were to mainly comment on the different management styles and ideas on quality(of the product). I
"This is, without a doubt, one of my favorite Columbo episodes ever. The acting is very well done, the music is very catchy, the script is ingenious, and the direction is fabulous.<br /><br />Peter Falk, who acts brilliantly in every Columbo episodes, acts particularly well in this episode.<br /><br />Also, great performances from Stephen Caffrey, Gary Hershberger, Alan Fudge and Robert Culp.<br /><br />The ending is absolutely brilliant and I love the way Columbo describes it.<br /><br />This is a Columbo movie that WON'T, go amiss.",1,"This is, without a doubt, one of my favorite Columbo episodes ever. The acting is very well done, the music is very catchy, the script"
"Leland follows the story of Leland P. Fitzgerald (Ryan Gosling), a disaffected teenager who has apparently murdered a severely retarded peer, the brother of a girl he was dating. The issue is not whether he did it or not  Leland admits to it, straight away  but rather, why. Interestingly, rather than a crime drama, Leland becomes a character story, examining why people do what they do  not necessarily the easiest ground to till.<br /><br />And Leland features the required indie group of screwed-up people. Aside from the title character, there's also Pearl (Don Cheadle), who is his teacher at the juvenile correctional facility and who sees straight off that Leland is different. We meet Leland's distant and egotistical father (Kevin Spacey in an extended cameo), who never seems emotionally stirred in any way by what his son did. But the real flavorings come out when we immerse ourselves in the Pollards, the family of the retarded child. First, there's Leland's girlfriend Becky (Jena Malone), a drug addict who can't keep herself clean; her sister Julie (Michelle Williams), perhaps the most normal person in the film, who merely seeks to get away from it all; and Allen Harris (Chris Klein), a young man who lives with the Pollards and is Julie's boyfriend. Lastly, there's Ryan (Michael Welch), whom all the others call goofball, who cannot communicate and seems barely aware of his surroundings.<br /><br />Leland focuses primarily on its eponymous protagonist, but the movie slowly  occasionally too slowly  burrows into everyone's lives, asking the chief question, why do people do what they do? While Leland discusses it openly in a journal Pearl allows him to keep, examining notions of good and bad and personal responsibility, all the characters at some point in the film face a moment where they must make the fundamental choice of their own happiness or another's, perhaps the most basic choice any human can make. And the movie takes a good look at what goes into those choices, and the consequences of them.<br /><br />In the beginning of the film, you're simply struck by the depth of the cast. Spacey. Cheadle. Gosling. Michelle Williams. Even Chris Klein  these are people who for the most part tend to elevate any film they are in, and putting them all together makes for a heady brew. For a space in the middle the film seems to stall, sputtering along as it unfolds; it looks for a while as if it will be content merely to ask questions and not supply any answers. But when we arrive at the home stretch and the movie starts to hit its stride and come together, Leland becomes a quietly powerful piece of film-making. Leland's explanation of the world and his actions, in the end, bring every story into focus, and all the investment you've made in the film pays off.<br /><br />Saying Ryan Gosling is excellent is like saying a sunny day is nice. At this point in his career it's redundant  this is one of the finest young actors working today, and it is a pleasure to watch him craft what could have been an unlikable character into a thought-provoking protagonist. Gosling employs such subtlety here that it hardly seems like acting; he has to face off most of the film opposite Don Cheadle, whom we know has the goods, and he not only holds his own, he elevates Cheadle's game as well. Cheadle himself is in top notch form, imbuing Pearl with a fully-rounded humanity  for good and bad. Spacey is kind of one-note, but that's the character, and he handles it excellently. I was surprised by Chris Klein; with this level of acting, I thought he would be buried in the mix, but he gives probably the turn of his career so far. Terrific work all around.<br /><br />Leland is a bit of a downer, and again, it's draggy in spots. But it finishes strongly and leaves a lasting impact on the viewer (on this one, anyway). There's also a subtle commentary on racism in the film (in Leland's first day in juvenile hall class, he's the only white person in the room) that, like much of the movie, is very effectively handled. I wouldn't go so far as to call this required viewing  some might find it too slow or too odd  but I thought it was one of the better films I've seen in a while, far stronger and more satisfying than most fare out there. I'd recommend it  with the above caveats  if for no other reason than to watch Gosling further perfect his craft.",1,"Leland follows the story of Leland P. Fitzgerald (Ryan Gosling), a disaffected teenager who has apparently murdered a severely retarded peer, the brother"
